surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
A	a	A	a|a'	3SG	a		FUNC		high	01001001	76437	multi_segmentation:3	auto_resolved
hi	hi	hi	Hi|hi'	DECL	hi		V		high	01001001	44315	multi_segmentation:3|known_polysemous	auto_resolved
in	in	in		ERG	in		FUNC		high	01001001	27643	known_polysemous	auto_resolved
uh	uh	uh	uh'	2/3PL	uh		FUNC		high	01001015	22115	multi_segmentation:2	auto_resolved
ding	ding	ding	Ding	IRR	ding		V		high	01001016	19253	multi_segmentation:2|known_polysemous	auto_resolved
na	na	na	Na|na'	2SG	na		FUNC		high	01001002	16769	multi_segmentation:3|known_polysemous	auto_resolved
hong	hong	hong	Hong	3→1	hong		V		high	01001005	15492	multi_segmentation:2|known_polysemous	auto_resolved
ka	ka	ka	Ka	1SG	ka		FUNC		high	01001030	13431	multi_segmentation:2	auto_resolved
tua	tua	tua	Tua	that	tua		FUNC		high	01001002	12528	multi_segmentation:2	auto_resolved
ciangin	ciangin	ciang-in		then-ERG	ciang		UNK		high	01001003	9994	pos_unknown	needs_review
ahi	ahi	ahi	Ahi	be.3SG	ahi		V		high	01001002	8594	multi_segmentation:2	auto_resolved
tawh	tawh	tawh		COM	tawh		FUNC		high	01002007	7806	known_polysemous	auto_resolved
Topa	topa	Topa	Topa'|topa|topa'	Lord	topa		N		high	01002004	7756	multi_segmentation:4	auto_resolved
mite	mite	mi-te	Mite|Mite'|mite'	person-PL	mi	Mite|mite	N	PROP|UNK	high	01004026	7200	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
kei	kei	kei	Kei|Kei'|kei'	NEG	kei		FUNC		high	01002017	6995	multi_segmentation:4	auto_resolved
lo	lo	lo	Lo	NEG	lo		FUNC		high	01002005	6330	multi_segmentation:2	auto_resolved
amah	amah	amah	Amah	3SG.PRO	amah		FUNC		high	01001016	6269	multi_segmentation:2	auto_resolved
amaute	amaute	amaute	Amaute|Amaute'|amaute'	3PL.PRO	amaute		FUNC		high	01001022	6184	multi_segmentation:4	auto_resolved
ci	ci	ci	Ci	say	ci		V		high	01001003	5971	multi_segmentation:2	auto_resolved
thu	thu	thu	Thu	word	thu		N		high	01002016	5821	multi_segmentation:2	auto_resolved
ahih	ahih	ahih	Ahih	be.3SG.REL	ahih		V		high	01001021	5751	multi_segmentation:2	auto_resolved
Pasian	pasian	Pasian	Pasian'|pasian|pasian'	God	pasian		N		high	01001001	5619	multi_segmentation:4	auto_resolved
khempeuh	khempeuh	khempeuh	khempeuh'	all	khempeuh		FUNC		high	01001021	5190	multi_segmentation:2	auto_resolved
om	om	om	Om	exist	om		V		high	01001003	5120	multi_segmentation:2	auto_resolved
hih	hih	hih	Hih	this	hi		V		high	01002023	5033	multi_segmentation:2	auto_resolved
mi	mi	mi	Mi|Mi'|mi'	person	mi		N		high	01002005	4775	multi_segmentation:4	auto_resolved
pen	pen	pen	Pen|pen'	TOP	pen		FUNC		high	01001005	4750	multi_segmentation:3	auto_resolved
khat	khat	khat	Khat|Khat'|khat'	one	khat		N		high	01001005	4651	multi_segmentation:4|known_polysemous	auto_resolved
hiam	hiam	hiam	Hiam	Q	hiam		FUNC		high	01002003	4356	multi_segmentation:2	auto_resolved
ama	ama	ama	Ama|ama'	3SG.POSS	ama	Ama	UNK	PROP	high	01001027	4306	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
Bang	bang	Bang	bang	like	bang		FUNC		high	01002003	4033	multi_segmentation:2|known_polysemous	auto_resolved
note	note	note	Note|Note'|note'	2PL.PRO	note		FUNC		high	01001029	3876	multi_segmentation:4	auto_resolved
zong	zong	zong	Zong	also	zong		FUNC		high	01001016	3507	multi_segmentation:2	auto_resolved
un	un	un	un'	IMP.PL	un		FUNC		high	01001028	2832	multi_segmentation:2	auto_resolved
gam	gam	gam	Gam|gam'	land	gam		N		high	01002005	2787	multi_segmentation:3	auto_resolved
pa	pa	pa	Pa|Pa'|pa'	father	pa		N		high	01002024	2703	multi_segmentation:4	auto_resolved
thei	thei	thei	Thei	know	thei		V		high	01001021	2579	multi_segmentation:2|known_polysemous	auto_resolved
gen	gen	gen	Gen	speak	gen		V		high	01003011	2425	multi_segmentation:2	auto_resolved
pai	pai	pai	Pai	go	pai		V		high	01003014	2386	multi_segmentation:2	auto_resolved
hang	hang	hang	Hang	reason	hang		FUNC		high	01002003	2326	multi_segmentation:2	auto_resolved
aw	aw	aw	Aw	voice	aw		N		high	01004023	2262	multi_segmentation:2	auto_resolved
pia	pia	pia	Pia	give	pia		V		high	01001022	2209	multi_segmentation:2	auto_resolved
tapa	tapa	tapa'	Tapa'|ta-pa	son.POSS	tapa	ta	N		high	01004017	2188	multi_segmentation:3|multi_lemma:2	needs_review
Nang	nang	Nang	Nang'|nang|nang'	2SG.PRO	nang		FUNC		high	01003015	2058	multi_segmentation:4	auto_resolved
Israel	israel	Israel	Israel'	ISRAEL	Israel	israel	PROP	UNK	high	01032028	2007	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kong	kong	kong	Kong	1SG→3	kong		FUNC		high	01001029	1978	multi_segmentation:2	auto_resolved
kumpipa	kumpipa	kumpi-pa	Kumpipa'|kumpipa'	king-male	kumpi	kumpipa	N		high	01014001	1852	multi_segmentation:3|multi_lemma:2	needs_review
amau	amau	amau'	Amau|Amau'|amau	3PL.PRO.POSS	amau		FUNC		high	01001011	1841	multi_segmentation:4	auto_resolved
Jesuh	jesuh	Jesuh	Jesuh'	JESUH	Jesuh	jesuh	PROP	UNK	high	40001001	1834	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
nei	nei	nei	Nei	have	nei		V		high	01001002	1803	multi_segmentation:2	auto_resolved
mah	mah	mah	mah'	EMPH	mah		FUNC		high	01001007	1557	multi_segmentation:2	auto_resolved
bawl	bawl	bawl	Bawl	make	bawl		V		high	01001007	1555	multi_segmentation:2	auto_resolved
i	i	i	I	1PL.INCL	i		FUNC		high	01003022	1534	multi_segmentation:2	auto_resolved
ni	ni	ni	Ni|ni'	day	ni		N		high	01001005	1525	multi_segmentation:3	auto_resolved
tung	tung	tung		on	tung		V		high	01001002	1491	known_polysemous	auto_resolved
theih	theih	theih	Theih	know.II	thei		V		high	01008017	1385	multi_segmentation:2	auto_resolved
mahmah	mahmah	mahmah	mahmah'	very	mahmah		N		high	01001031	1351	multi_segmentation:2	auto_resolved
kumpi	kumpi	kumpi	Kumpi|kumpi'	king	kumpi		N		high	01010010	1266	multi_segmentation:3	auto_resolved
hun	hun	hun	Hun	time	hun		N		high	01001014	1245	multi_segmentation:2	auto_resolved
lai	lai	lai	Lai	midst	lai		N		high	01002008	1201	multi_segmentation:2	auto_resolved
khuapi	khuapi	khua-pi	khuapi'	village-big	khua	khuapi	N		high	01004017	1161	multi_segmentation:2|multi_lemma:2	needs_review
ta	ta	ta	Ta|ta'	child	ta		FUNC		high	01001020	1128	multi_segmentation:3|known_polysemous	auto_resolved
Kha	kha	kha	Kha'	NEG.PERF	kha		N		high	01001002	1061	multi_segmentation:2	auto_resolved
David	david	David'	David	DAVID.POSS	david	David	UNK	PROP	high	08004017	1052	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
la	la	la	La	take	la		FUNC		high	01001006	1003	multi_segmentation:2	auto_resolved
siangtho	siangtho	siangtho	Siangtho|Siangtho'|siangtho'	holy	siangtho		N		high	01007002	1000	multi_segmentation:4	auto_resolved
khua	khua	khua	Khua|khua'	town	khua		N		high	01001002	995	multi_segmentation:3	auto_resolved
lungsim	lungsim	lung-sim	lungsim'	stone-mind	lung	lungsim	V	N	high	01006005	988	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
nangma	nangma	nangma	Nangma|nangma'	2SG.self	nangma		FUNC		high	01003017	985	multi_segmentation:3	auto_resolved
keima	keima	keima	Keima|keima'	1SG.self	keima		FUNC		high	01002023	979	multi_segmentation:3	auto_resolved
mu	mu	mu	Mu	see.I	mu		V		high	01001004	967	multi_segmentation:2	auto_resolved
Tu-in	tu-in	Tu-in	tu-in	now-ERG	tu		FUNC		high	01003001	966	multi_segmentation:2	auto_resolved
min	min	min	Min|min'	name	min		N		high	01002011	965	multi_segmentation:3	auto_resolved
kum	kum	kum	Kum	year	kum		N		high	01005003	933	multi_segmentation:2	auto_resolved
mun	mun	mun	Mun	place	mun		V		high	01001009	892	multi_segmentation:2	auto_resolved
lam	lam	lam	Lam	way	lam		N		high	01003014	883	multi_segmentation:2	auto_resolved
leitung	leitung	lei-tung	leitung'	land-on	lei	leitung	V	N	high	01001001	882	multi_segmentation:2|multi_lemma:2|multi_pos:N|V	needs_review
keimah	keimah	keimah	Keimah	1SG.PRO	keimah		FUNC		high	01009016	878	multi_segmentation:2	auto_resolved
khut	khut	khut	Khut	hand	khut		N		high	01008009	866	multi_segmentation:2	auto_resolved
Moses	moses	Moses	Moses'	MOSES	Moses	moses	PROP	UNK	high	02002010	866	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
si	si	si	Si	die	si		N		high	01002017	852	multi_segmentation:2	auto_resolved
va	va	va	Va	go.and	va		V		high	01011007	820	multi_segmentation:2	auto_resolved
Kote	kote	Kote	Kote'|kote|kote'	1PL.PRO	kote		FUNC		high	01019009	820	multi_segmentation:4	auto_resolved
Judah	judah	Judah	Judah'	JUDAH	Judah	judah	PROP	UNK	high	01029035	820	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
piak	piak	piak	Piak	give.to	pia		V		high	01003012	797	multi_segmentation:2	auto_resolved
bek	bek	bek	bek'	only	bek		FUNC		high	01006003	795	multi_segmentation:2	auto_resolved
inn	inn	inn	Inn	house	inn		N		high	01012001	772	multi_segmentation:2	auto_resolved
eite	eite	eite	Eite|Eite'|eite'	1PL.PRO	eite		FUNC		high	01003022	769	multi_segmentation:4	auto_resolved
mipa	mipa	mipa	Mipa|Mipa'|mipa'	man	mipa		N		high	01002008	754	multi_segmentation:4	auto_resolved
ngei	ngei	ngei		EXP	ngei		UNK		high	01008021	742	pos_unknown	needs_review
numei	numei	nu-mei	Numei'|numei'	woman	nu	numei	N		high	01001027	739	multi_segmentation:3|multi_lemma:2	needs_review
nong	nong	nong	Nong	2→1	nong		FUNC		high	01003012	739	multi_segmentation:2	auto_resolved
tampi	tampi	tampi	Tampi|tampi'	many	tampi		FUNC		high	01001021	733	multi_segmentation:3	auto_resolved
mawhna	mawhna	mawh-na	Mawhna'|mawhna'	err-NMLZ	mawh	mawhna	V	N	high	01004007	724	multi_segmentation:3|multi_lemma:2|multi_pos:N|V	needs_review
sawm	sawm	sawm	Sawm	ten	sawm		FUNC		high	01005008	704	multi_segmentation:2	auto_resolved
uk	uk	uk	Uk	rule	uk		V		high	01001016	696	multi_segmentation:2	auto_resolved
minam	minam	mi-nam	minam'	person-kind	mi	minam	N		high	01010032	695	multi_segmentation:2|multi_lemma:2	needs_review
Egypt	egypt	Egypt	Egypt'	EGYPT	Egypt	egypt	PROP	UNK	high	01010006	684	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
nih	nih	nih	nih'	two	nih		FUNC		high	01001008	672	multi_segmentation:2	auto_resolved
nangmah	nangmah	nangmah	Nangmah	2SG.PRO	nangmah		FUNC		high	01004014	667	multi_segmentation:2	auto_resolved
za	za	za	Za	hear	za		V		high	01003008	665	multi_segmentation:2|known_polysemous	auto_resolved
tui	tui	tui	Tui	water	tui		N		high	01001002	659	multi_segmentation:2	auto_resolved
kuamah	kuamah	kuamah	Kuamah	nobody	kuamah		FUNC		high	01006012	653	multi_segmentation:2	auto_resolved
thum	thum	thum	Thum|thum'	three	thum		FUNC		high	01001013	651	multi_segmentation:3	auto_resolved
Khrih	khrih	Khrih'	Khrih	KHRIH.POSS	khrih	Khrih	UNK	PROP	high	40001001	643	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
nu	nu	nu	Nu|nu'	female	nu		N		high	01002022	640	multi_segmentation:3	auto_resolved
pai-in	pai-in	pai-in	Pai-in	go-ERG	pai	Pai-In	V	PROP	high	01009023	638	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
Jerusalem	jerusalem	Jerusalem	Jerusalem'	JERUSALEM	Jerusalem	jerusalem	PROP	UNK	high	01014018	627	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
kibang	kibang	ki-bang		REFL-same	bang		UNK		high	01003022	626	pos_unknown	needs_review
man	man	man	Man|man'	finish	man		FUNC		high	01008009	612	multi_segmentation:3	auto_resolved
tapate	tapate	tapa-te	tapate'	son-PL	tapa	tapate	N	UNK	high	01006018	609	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tuate	tuate	tua-te	Tuate|tua-te'	DIST-PL	tua	Tuate	FUNC	PROP	high	01001014	606	multi_segmentation:3|multi_lemma:2|multi_pos:FUNC|PROP	needs_review
pan	pan	pan	pan'	ABL	pan		V		high	01008020	603	multi_segmentation:2|known_polysemous	auto_resolved
sa	sa	sa	Sa|sa'	flesh	sa		N		high	01001031	597	multi_segmentation:3	auto_resolved
Israel-te	israel-te	Israel-te	Israel-te'	ISRAEL-TE	Israel-Te	israel	PROP	UNK	high	01047027	575	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
ne	ne	ne	Ne	eat	ne		V		high	01002016	560	multi_segmentation:2	auto_resolved
sawl	sawl	sawl	Sawl	send	sawl		V		high	01019013	544	multi_segmentation:2	auto_resolved
thuak	thuak	thuak	Thuak	suffer	thuak		V		high	01004013	542	multi_segmentation:2	auto_resolved
kham	kham	kham	Kham	gold	kham		V		high	01002011	525	multi_segmentation:2	auto_resolved
en	en	en	En|en'	look	en		V		high	01001031	515	multi_segmentation:3	auto_resolved
thuman	thuman	thu-man	Thuman	word-reason	thu	Thuman	N	PROP	high	01006009	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
thute	thute	thu-te	thute'	word-PL	thu	thute	N	UNK	high	01015001	515	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
bangmah	bangmah	bangmah	Bangmah	nothing	bangmah		FUNC		high	01009021	512	multi_segmentation:2	auto_resolved
puan	puan	puan	Puan	cloth	puan		N		high	01003021	504	multi_segmentation:2	auto_resolved
tun	tun	tun		arrive	tun		UNK		high	01007006	498	pos_unknown	needs_review
kua	kua	kua	Kua|Kua'|kua'	who	kua		FUNC		high	01003011	496	multi_segmentation:4	auto_resolved
that	that	that	That	kill	that		V		high	01004008	482	multi_segmentation:2	auto_resolved
mihing	mihing	mi-hing	Mihing'|mihing'	person-kind	mi	mihing	N		high	01001026	474	multi_segmentation:3|multi_lemma:2	needs_review
zi	zi	zi	Zi|zi'	wife	zi		N		high	01002024	472	multi_segmentation:3	auto_resolved
pha	pha	pha	Pha	branch	pha		UNK		high	01001021	461	multi_segmentation:2|pos_unknown	needs_review
peuhpeuh	peuhpeuh	peuhpeuh	peuhpeuh'	every	peuhpeuh		FUNC		high	01003001	455	multi_segmentation:2	auto_resolved
ciang	ciang	ciang		then	ciang		UNK		high	01003019	451	pos_unknown	needs_review
Saul	saul	Saul	Saul'	SAUL	Saul	saul	PROP	UNK	high	09009002	440	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Thukham	thukham	thu-kham	Thukham'|thukham'	law	thu	thukham	N		high	02013009	438	multi_segmentation:3|multi_lemma:2	needs_review
ngai	ngai	ngai	Ngai	listen.I	ngai		V		high	01004023	434	multi_segmentation:2	auto_resolved
pasal	pasal	pasal	pasal'	husband	pasal		N		high	01001027	430	multi_segmentation:2	auto_resolved
galte	galte	gal-te	Galte|Galte'|galte'	enemy-PL	gal	Galte|galte	N	PROP|UNK	high	01014011	430	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
tau	tau	tau		signal	tau		UNK		high	01008020	427	pos_unknown	needs_review
ngaihsun	ngaihsun	ngaihsun	Ngaihsun	think	ngaihsun		V		high	01020010	414	multi_segmentation:2	auto_resolved
nasemte	nasemte	nasem-te	nasemte'	servant-PL	nasem	nasemte	N	UNK	high	01014015	413	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
nai	nai	nai		near	nai		UNK		high	01002005	405	pos_unknown	needs_review
gimna	gimna	gim-na	Gimna	suffer-NMLZ	gim	Gimna	N	PROP	high	01003016	405	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
zo	zo	zo		south	zo		FUNC		high	01001028	403	known_polysemous	auto_resolved
pate	pate	pa-te	Pate'|pate'	male-PL	pa	pate	N	UNK	high	01015015	398	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
minamte	minamte	mi-nam-te	Minamte|Minamte'|minamte'	person-kind-PL	mi	Minamte|minamte	N	PROP|UNK	high	01010032	386	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
tu	tu	tu	Tu	now	tu		FUNC		high	01019001	386	multi_segmentation:2	auto_resolved
nate	nate	na-te	nate'	2SG-PL	te	nate	FUNC	N	high	01014021	379	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|N	needs_review
dangte	dangte	dang-te	dangte'	other-PL	dang	dangte	N	UNK	high	01003001	373	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
tate	tate	ta-te	ta-te'	child-PL	ta		FUNC		high	01010021	368	multi_segmentation:2	auto_resolved
gim	gim	gim		faint	gim		UNK		high	01004013	365	pos_unknown	needs_review
ciat	ciat	ciat	ciat'	each	ciat		UNK		high	01006019	365	multi_segmentation:2|pos_unknown	needs_review
lian	lian	lian	Lian	great	lian		N		high	01001016	364	multi_segmentation:2	auto_resolved
Levi	levi	Levi	Levi'	LEVI	Levi	levi	PROP	UNK	high	01029034	363	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
dang	dang	dang	dang'	other	dang		N		high	01005004	359	multi_segmentation:2	auto_resolved
kici	kici	kici		called	kici		UNK		high	01002023	354	pos_unknown	needs_review
mei	mei	mei	Mei|mei'	fire	mei		N		high	01015017	350	multi_segmentation:3	auto_resolved
mang	mang	mang	Mang	dream	mang		N		high	01015001	349	multi_segmentation:2	auto_resolved
namsau	namsau	namsau	namsau'	sword	namsau		N		high	01003024	347	multi_segmentation:2	auto_resolved
zak	zak	zak	Zak	hear.II	za		V		high	01008021	347	multi_segmentation:2	auto_resolved
takin	takin	takin		really	takin		UNK		high	01021018	346	pos_unknown	needs_review
kip	kip	kip		firm	kip		UNK		high	01021018	343	pos_unknown	needs_review
Jakob	jakob	Jakob	Jakob'	JAKOB	Jakob	jakob	PROP	UNK	high	01025026	338	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
nga	nga	nga	nga'	five	nga		V		high	01001023	337	multi_segmentation:2	auto_resolved
sanggamte	sanggamte	sanggamte'	sanggam-te	brother-PL.POSS	sanggamte	sanggam	UNK	N	high	01009025	337	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK|pos_unknown	needs_review
pumpi	pumpi	pumpi	Pumpi|pumpi'	body	pumpi		N		high	01025025	336	multi_segmentation:3	auto_resolved
“	“						UNK		high	01004001	335	pos_unknown	needs_review
suante	suante	suan-te	suante'	offspring-PL	suan	suante	V	UNK	high	01036015	333	multi_segmentation:2|multi_lemma:2|multi_pos:UNK|V	needs_review
nasempa	nasempa	nasempa'	nasem-pa	servant.POSS	nasempa	nasem	N		high	01018003	332	multi_segmentation:2|multi_lemma:2	needs_review
dawn	dawn	dawn	Dawn	top	dawn		V		high	01011004	331	multi_segmentation:2	auto_resolved
ganhing	ganhing	ganhing	Ganhing|ganhing'	animal	ganhing		N		high	01001020	329	multi_segmentation:3	auto_resolved
Aaron	aaron	Aaron	Aaron'	AARON	Aaron	aaron	PROP	UNK	high	02004014	326	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
Siampite	siampite	Siampite'	Siampite|siam-pi-te|siampite'	priest-PL.POSS	siampite	Siampite|siam	UNK	PROP|V	high	01047022	325	multi_segmentation:4|multi_lemma:3|multi_pos:PROP|UNK|V|pos_unknown	needs_review
nangawn	nangawn	na-ngawn	na-ngawn'	2SG-own	ngawn		FUNC		high	01041044	323	multi_segmentation:2	auto_resolved
tul	tul	tul	Tul	thousand	tul		FUNC		high	02012037	323	multi_segmentation:2	auto_resolved
taktak	taktak	tak~tak		great~REDUP	tak~tak		UNK		high	01004024	314	pos_unknown	needs_review
uliante	uliante	ulian-te	ulian-te'	elder-PL	ulian		FUNC		high	01012015	314	multi_segmentation:2	auto_resolved
Babylon	babylon	Babylon	Babylon'	BABYLON	Babylon	babylon	PROP	UNK	high	12017024	310	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
meihal	meihal	meihal	Meihal	burnt.offering	meihal		V		high	01008020	306	multi_segmentation:2	auto_resolved
Solomon	solomon	Solomon	Solomon'	SOLOMON	Solomon	solomon	PROP	UNK	high	10005014	302	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
lei	lei	lei		buy	lei		UNK		high	01001009	300	pos_unknown	needs_review
masa	masa	masa	masa'	first	masa		FUNC		high	01002011	299	multi_segmentation:2	auto_resolved
khuapite	khuapite	khua-pi-te	khuapite'	town-big-PL	khua	khuapite	N	UNK	high	01010012	296	multi_segmentation:2|multi_lemma:2|multi_pos:N|UNK	needs_review
ngun	ngun	ngun	Ngun	silver	ngun		N		high	01013002	294	multi_segmentation:2	auto_resolved
suang	suang	suang	Suang	stone	suang		N		high	01002012	293	multi_segmentation:2	auto_resolved
sathau	sathau	sa-thau	Sathau	flesh-fat	sa	Sathau	N	PROP	high	01028018	287	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
tanu	tanu	ta-nu	tanu'	child-female	ta	tanu	N		high	01005004	286	multi_segmentation:2|multi_lemma:2	needs_review
pi	pi	pi	Pi|pi'	grandmother	pi		UNK		high	01006015	281	multi_segmentation:3|pos_unknown	needs_review
kikhopna	kikhopna	ki-khop-na	Kikhopna	REFL-gather-NMLZ	khop	Kikhopna	N	PROP	high	02012016	279	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
beh	beh	beh	Beh|beh'	tribe	beh		N		high	01010005	278	multi_segmentation:3	auto_resolved
lim	lim	lim	Lim	sign	lim		N		high	01001026	277	multi_segmentation:2	auto_resolved
Abraham	abraham	Abraham	Abraham'	ABRAHAM	Abraham	abraham	PROP	UNK	high	01017005	276	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
hehna	hehna	heh-na	heh-na'	anger-NMLZ	heh		N		high	01027044	275	multi_segmentation:2	auto_resolved
pawi	pawi	pawi	Pawi	Pawi	pawi	Pawi	N	PROP	high	01001014	274	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
nungzuite	nungzuite	nungzui-te	nungzui-te'	disciple-PL	nungzui		UNK		high	01024054	273	multi_segmentation:2|pos_unknown	needs_review
No	no	No	no|no'	NO	No	no	PROP	N	high	01019008	272	multi_segmentation:3|multi_lemma:2|multi_pos:N|PROP	needs_review
Hihte	hihte	hih-te	Hihte	this-PL	hi	Hihte	V	PROP	high	01002004	271	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
khen	khen	khen	Khen|khen'	divide	khen		V		high	01001007	270	multi_segmentation:3	auto_resolved
Josef	josef	Josef	Josef'	JOSEF	Josef	josef	PROP	UNK	high	01030024	270	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
nuntak	nuntak	nuntak	Nuntak	live	nuntak		V		high	01003014	269	multi_segmentation:2	auto_resolved
susia	susia	su-sia	Susia	CAUS-bad	su	Susia	N	PROP	high	01006013	269	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
Faro	faro	Faro'	Faro	FARO.POSS	faro	Faro	UNK	PROP	high	01012015	269	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
khang	khang	khang	Khang	generation	khang		N		high	01007001	268	multi_segmentation:2	auto_resolved
sih	sih	sih	Sih	die	sih		V		high	01011028	268	multi_segmentation:2	auto_resolved
pilna	pilna	pilna	Pilna	learning	pilna		N		high	01041016	268	multi_segmentation:2	auto_resolved
it	it	it	It	love	it		V		high	01022002	265	multi_segmentation:2	auto_resolved
tak	tak	tak		truly	tak		UNK		high	01009007	259	pos_unknown	needs_review
Khatpeuh	khatpeuh	khat-peuh	khat-peuh'	one-every	khat		N		high	01004015	258	multi_segmentation:2	auto_resolved
sum	sum	sum	sum'	extinguish	sum		N		high	01017012	258	multi_segmentation:2	auto_resolved
kumpite	kumpite	kumpi-te	Kumpite|Kumpite'|kumpite'	king-PL	kumpi	Kumpite|kumpite	N	PROP|UNK	high	01014002	257	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
Paul	paul	Paul	Paul'	PAUL	Paul	paul	PROP	UNK	high	44013013	255	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	needs_review
heh	heh	heh	Heh	anger	heh		N		high	01004005	253	multi_segmentation:2	auto_resolved
nihte	nihte	nih-te	nihte'	two-PL	nih	nihte	FUNC	UNK	high	01009022	251	multi_segmentation:2|multi_lemma:2|multi_pos:FUNC|UNK	needs_review
van	van	van	Van	sky	van		N		high	01001006	249	multi_segmentation:2	auto_resolved
leitungah	leitungah	leitung-ah	Leitungah	earth-LOC	leitung	Leitungah	N	PROP	high	01001011	249	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	needs_review
pau	pau	pau	Pau	speak	pau	Pau	V	PROP	high	01010005	248	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	needs_review
vantungmi	vantungmi	van-tung-mi	vantungmi'	angel	van	vantungmi	N		high	01016007	248	multi_segmentation:2|multi_lemma:2	needs_review
mihonte	mihonte	mihon-te	Mihonte'|mihonte'	poor.person-PL	mihon	mihonte	N	UNK	high	02007004	248	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
milim	milim	mi-lim	milim'	idol	mi	milim	N		high	02020004	248	multi_segmentation:2|multi_lemma:2	needs_review
deihna	deihna	deihna	Deihna	desire	deihna		N		high	03017005	245	multi_segmentation:2	auto_resolved
ko	ko	ko	Ko|ko'	long	ko	Ko	UNK	PROP	high	01019005	242	multi_segmentation:3|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	needs_review
galkapte	galkapte	gal-kap-te	Galkapte'|galkapte'	war-throw-PL	gal	galkapte	N	UNK	high	01014003	241	multi_segmentation:3|multi_lemma:2|multi_pos:N|UNK	needs_review
migilote	migilote	migilo-te	Migilote|Migilote'|migilote'	enemy-PL	migilo	Migilote|migilote	N	PROP|UNK	high	01018023	241	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
lel	lel	lel		desperate	lel		UNK		high	01018027	236	pos_unknown	needs_review
piangsak	piangsak	piangsak	Piangsak	cause.birth	piangsak		V		high	01001001	233	multi_segmentation:2	auto_resolved
mihingte	mihingte	mi-hing-te	Mihingte|Mihingte'|mihingte'	person-kind-PL	mi	Mihingte|mihingte	N	PROP|UNK	high	01006003	231	multi_segmentation:4|multi_lemma:3|multi_pos:N|PROP|UNK	needs_review
siampipa	siampipa	siam-pi-pa	Siampipa'|siampipa'	priest	siam	siampipa	V	N	high	01041045	231	multi_segmentation:3|multi_lemma:2|multi_pos:N|V	needs_review
