surface_form	normalized_form	segmentation	alt_segmentations	gloss	lemma	alt_lemmas	pos	alt_pos	confidence	first_verse	frequency	review_reasons	status
Mithredath	mithredath	Mithredath'	Mithredath	MITHREDATH.POSS	mithredath	Mithredath	UNK	PROP	high	15001008	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Jeshua-te	jeshua-te	jeshua-te		JESHUA-PL	jeshua		UNK		high	15002036	2	pos_unknown	auto_resolved
Hodaviah-te	hodaviah-te	hodaviah-te		HODAVIAH-PL	hodaviah		UNK		high	15002040	2	pos_unknown	auto_resolved
Temah	temah	tem-ah		short-LOC	tem		UNK		high	15002053	2	pos_unknown	auto_resolved
pah)	pah)	pah		do.so	pah		UNK		high	15002061	2	pos_unknown	auto_resolved
Tabeel	tabeel	Tabeel	Tabeel'	TABEEL	Tabeel	tabeel	PROP	UNK	high	15004007	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
kilamin	kilamin	kilam-in		build-ERG	kilam		UNK		high	15005008	2	pos_unknown	auto_resolved
telh	telh	telh		add	telh		UNK		high	15005008	2	pos_unknown	auto_resolved
zuazuate	zuazuate	zuazua-te		willing-PL	zuazua		UNK		high	15007016	2	pos_unknown	auto_resolved
“Jerusalem-a	“jerusalem-a	Jerusalem-a		JERUSALEM-A	jerusalem		UNK		high	15007026	2	pos_unknown	auto_resolved
Parosh-te	parosh-te	parosh-te		PAROSH-PL	parosh		UNK		high	15008003	2	pos_unknown	auto_resolved
Zattu-te	zattu-te	zattu-te		ZATTU-PL	zattu		UNK		high	15008005	2	pos_unknown	auto_resolved
Bebai-te	bebai-te	bebai-te		BEBAI-PL	bebai		UNK		high	15008011	2	pos_unknown	auto_resolved
botin	botin	bot-in		pluck-ERG	bot		UNK		high	15009003	2	pos_unknown	auto_resolved
Harim-te	harim-te	harim-te		HARIM-PL	harim		UNK		high	15010021	2	pos_unknown	auto_resolved
Pashhur-te	pashhur-te	pashhur-te		PASHHUR-PL	pashhur		UNK		high	15010022	2	pos_unknown	auto_resolved
Zabbai	zabbai	Zabbai	Zabbai'	ZABBAI	Zabbai	zabbai	PROP	UNK	high	15010028	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
Hashabneiah	hashabneiah	Hashabneiah'	Hashabneiah	HASHABNEIAH.POSS	hashabneiah	Hashabneiah	UNK	PROP	high	16003010	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Kolhozeh	kolhozeh	Kolhozeh'	Kolhozeh	KOLHOZEH.POSS	kolhozeh	Kolhozeh	UNK	PROP	high	16003015	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
Ananiah	ananiah	Ananiah'	Ananiah	ANANIAH.POSS	ananiah	Ananiah	UNK	PROP	high	16003023	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK|pos_unknown	auto_resolved
ciangte	ciangte	ciang-te'	ciang-te	time-PL.POSS	ciang		UNK		high	16004005	2	multi_segmentation:2|pos_unknown	auto_resolved
kuanun	kuanun	kuan-un		carry-PL	kuan		UNK		high	16004013	2	pos_unknown	auto_resolved
mau	mau	mau		mourn	mau		UNK		high	16008009	2	pos_unknown	auto_resolved
Jaddua	jaddua	Jaddua	Jaddua'	JADDUA	Jaddua	jaddua	PROP	UNK	high	16010021	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
Kolaiah	kolaiah	Kolaiah	Kolaiah'	KOLAIAH	Kolaiah	kolaiah	PROP	UNK	high	16011007	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
Memukan	memukan	Memukan	Memukan'	MEMUKAN	Memukan	memukan	PROP	UNK	high	17001016	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
kikhit	kikhit	ki-khit		REFL-finish	khit		UNK		high	18001005	2	pos_unknown	auto_resolved
nasiat	nasiat	nasiat		severe.II	nasiat		UNK		high	18002013	2	pos_unknown	auto_resolved
luipi	luipi	lui-pi		river-big	lui		UNK		high	18003024	2	pos_unknown	auto_resolved
ipzo	ipzo	ip-zo		restrain-COMPL	ip		UNK		high	18004002	2	pos_unknown	auto_resolved
kizunglot	kizunglot	ki-zung-lot	Kizunglot	REFL-root-cast	zung	Kizunglot	V	PROP	high	18005003	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|V	auto_resolved
kaite	kaite	kait-e		consume-DECL	kait		UNK		high	18007009	2	pos_unknown	auto_resolved
“Theitel	“theitel	Theitel		THEITEL	theitel		UNK		high	18008020	2	pos_unknown	auto_resolved
zawhzawh	zawhzawh	zawh~zawh		be.able~REDUP	zawh~zawh		UNK		high	18009002	2	pos_unknown	auto_resolved
Khawlei-uikai	khawlei-uikai	Khawlei-uikai	khawlei-uikai	KHAWLEI-UIKAI	Khawlei-Uikai	khawlei	PROP	UNK	high	18009009	2	multi_segmentation:2|multi_lemma:2|multi_pos:PROP|UNK	auto_resolved
Zawlzawng	zawlzawng	Zawlzawng	zawl-zawng	ZAWLZAWNG	Zawlzawng	zawl	PROP	N	high	18009009	2	multi_segmentation:2|multi_lemma:2|multi_pos:N|PROP	auto_resolved
paak	paak	paak		glad	paak		UNK		high	18014002	2	pos_unknown	auto_resolved
nialnial	nialnial	nial~nial		argue~REDUP	nial~nial		UNK		high	18015011	2	pos_unknown	auto_resolved
gawlin	gawlin	gawl-in		empty-ERG	gawl		UNK		high	18016012	2	pos_unknown	auto_resolved
thangkhau	thangkhau	thang-khau		trap-rope	thang		UNK		high	18018009	2	pos_unknown	auto_resolved
guneite	guneite	gunei-te'	gunei-te	viper-PL.POSS	gunei		UNK		high	18020016	2	multi_segmentation:2|pos_unknown	auto_resolved
duhduh	duhduh	duh~duh		want~REDUP	duh~duh		UNK		high	18020023	2	pos_unknown	auto_resolved
keuhkeuh	keuhkeuh	keuh~keuh		dig~REDUP	keuh~keuh		UNK		high	18020025	2	pos_unknown	auto_resolved
buhkungte	buhkungte	buhkung-te		provender-PL	buhkung		UNK		high	18021018	2	pos_unknown	auto_resolved
taai	taai	taai		flee	taai		UNK		high	18022016	2	pos_unknown	auto_resolved
kitawh	kitawh	ki-tawh		REFL-COM	tawh		UNK		high	18028001	2	pos_unknown	auto_resolved
suangkhi	suangkhi	suangkhi		coral	suangkhi		UNK		high	18028018	2	pos_unknown	auto_resolved
“Mizawngte	“mizawngte	Mizawngte		MIZAWNGTE	mizawngte		UNK		high	18031016	2	pos_unknown	auto_resolved
ok	ok	ok		clothe	ok		UNK		high	18031036	2	pos_unknown	auto_resolved
